employee_id,salary_effective_date,salary_amount_million
1001,2024-03-29 16:56:43,16
1002,2021-03-14 03:36:26,16
1002,2025-03-14 03:36:26,17
1003,2021-07-17 08:20:37,30
1003,2023-07-17 08:20:37,32
1004,2022-01-25 17:08:06,11
1004,2024-01-25 17:08:06,12
1004,2025-01-25 17:08:06,16
1005,2020-01-23 22:58:29,8
1005,2022-01-23 22:58:29,12
1005,2024-01-23 22:58:29,16
1006,2023-09-22 14:41:33,7
1007,2024-10-31 05:44:05,11
1008,2022-06-18 15:25:32,28
1008,2023-06-18 15:25:32,32
1008,2024-06-18 15:25:32,33
1008,2025-06-18 15:25:32,36
1009,2022-04-27 09:19:49,29
1010,2024-03-25 22:17:43,24
1010,2025-03-25 22:17:43,26
1011,2020-11-01 03:40:10,17
1011,2021-11-01 03:40:10,18
1011,2023-11-01 03:40:10,21
1012,2020-05-11 02:10:37,11
1012,2021-05-11 02:10:37,14
1012,2022-05-11 02:10:37,17
1013,2022-09-26 08:14:24,16
1013,2024-09-26 08:14:24,20
1013,2025-09-26 08:14:24,24
1014,2021-12-17 00:30:19,29
1014,2023-12-17 00:30:19,31
1015,2021-01-19 21:44:36,30
1015,2023-01-19 21:44:36,33
1015,2024-01-19 21:44:36,36
1016,2024-10-03 11:30:04,14
1016,2025-10-03 11:30:04,15
1017,2024-03-09 16:51:30,33
1017,2025-03-09 16:51:30,35
1018,2021-04-17 10:57:07,17
1018,2024-04-17 10:57:07,19
1019,2023-04-23 18:04:18,9
1020,2022-07-11 07:48:15,17
1020,2024-07-11 07:48:15,20
1020,2025-07-11 07:48:15,21
1021,2022-10-14 16:24:16,8
1021,2024-10-14 16:24:16,11
1022,2020-05-27 01:43:55,33
1022,2022-05-27 01:43:55,35
1022,2023-05-27 01:43:55,38
1023,2024-05-31 19:48:45,22
1024,2022-03-27 16:03:40,30
1024,2023-03-27 16:03:40,34
1024,2025-03-27 16:03:40,35
1025,2024-01-09 10:51:25,7
1026,2021-02-26 05:45:41,34
1027,2022-02-07 08:27:20,25
1027,2023-02-07 08:27:20,29
1027,2024-02-07 08:27:20,30
1028,2022-02-13 01:55:48,25
1028,2024-02-13 01:55:48,29
1029,2022-06-26 05:27:56,7
1029,2023-06-26 05:27:56,8
1029,2025-06-26 05:27:56,10
1030,2023-12-20 07:03:16,19
1031,2021-05-01 18:52:14,25
1031,2022-05-01 18:52:14,28
1031,2023-05-01 18:52:14,29
1031,2024-05-01 18:52:14,31
1031,2025-05-01 18:52:14,35
1032,2023-07-22 10:20:18,10
1032,2025-07-22 10:20:18,14
1033,2021-09-30 14:10:59,30
1034,2021-05-16 23:03:48,32
1035,2020-06-18 13:31:11,13
1035,2022-06-18 13:31:11,17
1036,2022-07-07 09:21:36,10
1036,2023-07-07 09:21:36,14
1036,2025-07-07 09:21:36,16
1037,2020-08-07 19:39:43,28
1037,2021-08-07 19:39:43,31
1037,2025-08-07 19:39:43,35
1038,2022-09-05 20:49:45,19
1039,2024-04-25 11:15:01,26
1039,2025-04-25 11:15:01,27
1040,2021-02-28 00:26:33,17
1041,2021-01-10 20:49:43,27
1041,2022-01-10 20:49:43,28
1041,2024-01-10 20:49:43,31
1042,2021-01-28 12:18:53,9
1042,2022-01-28 12:18:53,11
1042,2023-01-28 12:18:53,12
1043,2024-09-19 18:40:23,5
1043,2025-09-19 18:40:23,6
1044,2022-11-30 17:31:29,8
1044,2024-11-30 17:31:29,12
1045,2022-01-19 19:55:45,6
1045,2025-01-19 19:55:45,8
1046,2020-07-25 23:25:50,26
1046,2021-07-25 23:25:50,29
1046,2023-07-25 23:25:50,33
1046,2025-07-25 23:25:50,34
1047,2022-06-30 04:07:54,21
1047,2025-06-30 04:07:54,22
1048,2020-04-27 23:10:57,18
1048,2021-04-27 23:10:57,21
1048,2022-04-27 23:10:57,25
1049,2021-05-14 15:01:45,34
1049,2024-05-14 15:01:45,35
1050,2024-12-03 00:14:31,28
1051,2021-04-18 00:43:12,19
1051,2023-04-18 00:43:12,22
1051,2024-04-18 00:43:12,23
1052,2021-07-31 16:47:04,28
1052,2022-07-31 16:47:04,29
1052,2025-07-31 16:47:04,30
1053,2022-01-14 20:42:18,6
1053,2024-01-14 20:42:18,10
1054,2022-11-30 08:19:01,19
1055,2020-11-04 13:10:09,15
1055,2022-11-04 13:10:09,19
1055,2023-11-04 13:10:09,20
1055,2024-11-04 13:10:09,23
1056,2022-08-07 04:14:51,31
1056,2023-08-07 04:14:51,33
1056,2024-08-07 04:14:51,36
1057,2021-07-17 20:00:57,9
1058,2020-09-14 17:46:46,9
1058,2025-09-14 17:46:46,10
1059,2020-03-16 09:00:40,30
1059,2021-03-16 09:00:40,31
1059,2022-03-16 09:00:40,35
1059,2023-03-16 09:00:40,38
1060,2020-05-23 21:09:55,8
1060,2021-05-23 21:09:55,9
1060,2023-05-23 21:09:55,12
1061,2020-12-02 17:38:27,30
1061,2021-12-02 17:38:27,32
1061,2023-12-02 17:38:27,34
1062,2023-05-25 23:07:44,23
1062,2024-05-25 23:07:44,26
1062,2025-05-25 23:07:44,29
1063,2021-02-23 14:24:07,19
1063,2023-02-23 14:24:07,21
1064,2021-12-20 03:39:43,29
1064,2022-12-20 03:39:43,33
1065,2022-12-18 21:06:53,11
1066,2022-01-15 22:03:55,29
1066,2023-01-15 22:03:55,33
1067,2021-07-31 11:48:02,13
1068,2023-06-21 08:54:46,12
1069,2023-10-04 20:05:34,14
1070,2020-01-29 23:29:31,30
1070,2021-01-29 23:29:31,33
1070,2023-01-29 23:29:31,34
1070,2024-01-29 23:29:31,35
1071,2022-03-24 12:04:49,10
1071,2025-03-24 12:04:49,12
1072,2024-04-13 23:24:49,34
1072,2025-04-13 23:24:49,38
1073,2020-02-18 10:10:39,27
1073,2021-02-18 10:10:39,30
1073,2024-02-18 10:10:39,33
1073,2025-02-18 10:10:39,37
