internal_project_id,project_name,employee_id,equipment_id,start_date,end_date,description
7001,Internal Project 1,1029,3077,2024-06-20 07:08:55,2025-03-24 18:41:15,Maintenance Project
7002,Internal Project 2,1043,3035,2024-10-24 08:42:04,2025-11-02 23:33:45,Maintenance Project
7003,Internal Project 3,1065,3017,2024-01-01 16:24:09,2025-02-20 16:03:15,Maintenance Project
7004,Internal Project 4,1131,3030,2024-01-09 15:28:38,2025-06-30 08:35:17,R&D Work
7005,Internal Project 5,1096,3018,2024-07-05 02:46:10,2025-09-08 02:56:56,Equipment Testing
7006,Internal Project 6,1020,3030,2024-06-06 00:24:02,2025-06-20 20:28:29,R&D Work
7007,Internal Project 7,1081,3090,2024-08-06 21:44:08,2025-06-09 11:46:05,Internal Training
7008,Internal Project 8,1037,3016,2024-05-23 06:14:07,2025-05-04 09:38:20,Equipment Testing
7009,Internal Project 9,1038,3075,2024-07-07 01:58:37,2025-12-22 16:28:08,Equipment Testing
7010,Internal Project 10,1045,3054,2024-07-30 16:03:43,2025-09-04 03:19:58,R&D Work
7011,Internal Project 11,1046,3004,2024-10-23 10:28:22,2025-04-08 16:08:53,Internal Training
7012,Internal Project 12,1060,3015,2024-08-09 03:53:15,2025-10-26 04:22:12,Maintenance Project
7013,Internal Project 13,1096,3076,2024-03-26 17:12:00,2025-12-02 04:49:38,Internal Training
7014,Internal Project 14,1013,3027,2024-03-30 07:55:27,2025-07-24 14:30:38,R&D Work
7015,Internal Project 15,1031,3004,2024-02-15 22:35:06,2025-03-19 04:06:26,R&D Work
7016,Internal Project 16,1124,3035,2024-07-03 16:37:20,2025-05-09 03:59:32,R&D Work
7017,Internal Project 17,1068,3085,2024-04-08 10:28:21,2025-04-24 03:38:20,Maintenance Project
7018,Internal Project 18,1116,3063,2024-12-03 20:52:12,2025-10-14 11:44:25,Equipment Testing
7019,Internal Project 19,1062,3100,2024-03-16 20:10:41,2025-05-08 19:54:33,Internal Training
7020,Internal Project 20,1146,3066,2024-12-09 06:27:18,2025-10-19 10:58:54,Internal Training
7021,Internal Project 21,1075,3039,2024-11-03 19:43:03,2025-11-28 16:16:37,Maintenance Project
7022,Internal Project 22,1106,3028,2024-09-13 09:56:14,2025-06-07 21:01:37,R&D Work
7023,Internal Project 23,1053,3034,2024-08-07 23:34:04,2025-04-02 10:21:22,Internal Training
7024,Internal Project 24,1146,3033,2024-11-04 12:13:16,2025-05-18 17:38:01,Equipment Testing
7025,Internal Project 25,1051,3050,2024-12-19 12:55:43,2025-11-11 05:46:16,Internal Training
7026,Internal Project 26,1101,3060,2024-08-08 19:16:44,2025-07-24 10:39:03,R&D Work
7027,Internal Project 27,1101,3072,2024-12-04 16:51:42,2025-11-25 23:27:47,Internal Training
7028,Internal Project 28,1083,3072,2024-12-18 04:06:23,2025-06-15 15:17:30,R&D Work
7029,Internal Project 29,1123,3042,2024-11-22 11:47:00,2025-12-03 20:43:39,Equipment Testing
7030,Internal Project 30,1134,3086,2024-08-14 19:36:41,2025-04-21 05:27:51,Maintenance Project
7031,Internal Project 31,1012,3091,2024-05-10 20:08:35,2025-03-14 12:35:19,R&D Work
7032,Internal Project 32,1081,3028,2024-02-15 22:13:44,2025-10-22 21:30:37,R&D Work
7033,Internal Project 33,1002,3075,2024-02-09 12:49:59,2025-05-05 18:57:57,Internal Training
7034,Internal Project 34,1053,3027,2024-08-11 18:07:48,2025-05-03 14:36:13,Maintenance Project
7035,Internal Project 35,1037,3001,2024-04-05 23:32:28,2025-03-11 05:05:04,R&D Work
7036,Internal Project 36,1145,3092,2024-11-30 16:48:16,2025-12-19 07:46:41,Internal Training
7037,Internal Project 37,1069,3091,2024-08-10 11:16:55,2025-07-19 01:17:07,Equipment Testing
7038,Internal Project 38,1056,3008,2024-12-29 01:22:15,2025-08-04 22:29:55,Maintenance Project
7039,Internal Project 39,1121,3046,2024-02-07 19:36:54,2025-10-17 06:41:37,Internal Training
7040,Internal Project 40,1058,3024,2024-12-15 13:05:10,2025-07-17 23:01:53,Maintenance Project
7041,Internal Project 41,1004,3040,2024-02-10 16:23:59,2025-07-15 17:06:20,R&D Work
7042,Internal Project 42,1103,3051,2024-02-14 16:08:55,2025-03-08 08:37:09,Internal Training
7043,Internal Project 43,1049,3100,2024-08-12 16:08:32,2025-07-18 22:31:16,Equipment Testing
7044,Internal Project 44,1038,3024,2024-08-05 01:29:18,2025-12-01 03:57:39,Equipment Testing
7045,Internal Project 45,1045,3022,2024-06-29 05:49:47,2025-06-03 08:12:53,Internal Training
7046,Internal Project 46,1108,3074,2024-01-21 09:43:14,2025-03-16 03:53:07,Internal Training
7047,Internal Project 47,1037,3068,2024-06-13 10:32:03,2025-02-28 15:30:32,Maintenance Project
7048,Internal Project 48,1032,3008,2024-03-26 08:49:30,2025-07-23 02:30:50,Internal Training
7049,Internal Project 49,1139,3058,2024-08-20 19:12:41,2025-03-14 02:38:49,Maintenance Project
7050,Internal Project 50,1058,3015,2024-04-12 14:17:02,2025-09-22 18:18:22,R&D Work
